Ei,E,dq,E_width
30.0,27.0,-2.90494545456,0.540037702973
30.0,25.5,-2.75673151753,0.581768005741
30.0,24.0,-2.67318007665,0.634500581791
30.0,22.5,-2.57976284587,0.695859827036
30.0,21.0,-2.47819672133,0.763920245381
30.0,19.5,-2.37248908299,0.837209605918
30.0,18.0,-2.29671232879,0.914618091477
30.0,16.5,-2.24133971294,0.995334788688
30.0,15.0,-2.17958333335,1.07876230065
30.0,13.5,-2.17520958086,1.16442928714
30.0,12.0,-2.11469135804,1.25200284156
30.0,10.5,-2.06823529414,1.34118531504
30.0,9.0,-1.96347826089,1.43170420408
30.0,7.5,-1.9041758242,1.5233559664
30.0,1.875,-3.91500000002,1.88421605387
30.0,0.9375,-4.68000000002,1.94677149996
30.0,0.46875,-4.58363636366,1.97727682453
30.0,0.234375,-5.07636363638,1.9934337842
60.0,54.0,-4.09588688948,1.34942868904
60.0,51.0,-3.90816216218,1.42700366647
60.0,48.0,-3.79446575344,1.52633619665
60.0,45.0,-3.66515235459,1.64396064829
60.0,42.0,-3.49846607672,1.77680546707
60.0,39.0,-3.37914373091,1.92219998701
60.0,36.0,-3.26987096776,2.07806941087
60.0,33.0,-3.17024390246,2.24272793344
60.0,30.0,-3.17390681006,2.41475797665
60.0,27.0,-3.07258064518,2.59324157791
60.0,24.0,-2.9543497758,2.77717924911
60.0,21.0,-3.01068062829,2.96590497666
60.0,18.0,-2.88060975612,3.15848041535
60.0,15.0,-2.75686567166,3.35420256835
60.0,3.75,-5.20800000002,4.14958934826
60.0,1.875,-6.66758620692,4.29503332922
60.0,0.9375,-6.80363636365,4.36393583257
60.0,0.46875,-6.71384615386,4.39765154768
125.0,112.5,-5.90812834226,3.74739631926
125.0,106.25,-5.6470809793,3.90295177723
125.0,100.0,-5.46161958571,4.10380608991
125.0,93.75,-5.23788053952,4.34543849767
125.0,87.5,-5.07614604464,4.6229516236
125.0,81.25,-4.87028077756,4.93246421104
125.0,75.0,-4.68414253899,5.2698991345
125.0,68.75,-4.55846889954,5.63162349166
125.0,62.5,-4.56279301748,6.01446439135
125.0,56.25,-4.44157746481,6.41660782039
125.0,50.0,-4.25893081763,6.83508925884
125.0,43.75,-4.272398524,7.26772970736
125.0,37.5,-4.17016393445,7.71195444006
125.0,31.25,-4.06142857145,8.16502939161
125.0,12.5,-6.69230769233,9.7093081147
125.0,7.8125,-8.21076923079,10.1506622284
125.0,3.90625,-9.77400000002,10.5217987923
125.0,1.953125,-9.26769230771,10.6784511701
125.0,0.9765625,-9.74352941178,10.7739474563
250.0,225.0,-8.36145545799,10.15771146
250.0,212.5,-7.96807436921,10.4769624528
250.0,200.0,-7.70663129975,10.8903195866
250.0,187.5,-7.44495912808,11.3927150765
250.0,175.0,-7.18515021461,11.9779913087
250.0,162.5,-6.9407656968,12.6395450915
250.0,150.0,-6.67965023849,13.3712200236
250.0,137.5,-6.56391891894,14.1638780364
250.0,125.0,-6.38182468696,15.0139633888
250.0,112.5,-6.30019646367,15.9130391118
250.0,100.0,-6.12374164813,16.8557165475
250.0,87.5,-5.91007672636,17.8330397288
250.0,75.0,-5.89274285716,18.84101065
250.0,62.5,-5.9084671533,19.8749136134
250.0,15.625,-12.0025,24.972994689
250.0,7.8125,-13.918,25.9642245957
250.0,3.90625,-13.4123809524,26.3383417375
250.0,1.953125,-12.174,26.4226850127
500.0,450.0,-11.8177422222,28.0243504587
500.0,425.0,-11.287754717,28.7076789134
500.0,400.0,-10.9209962406,29.5968220125
500.0,375.0,-10.5243368829,30.6900819189
500.0,350.0,-10.1565217391,31.9766817642
500.0,325.0,-9.75918015104,33.449271163
500.0,300.0,-9.39025813694,35.0921910443
500.0,275.0,-9.18370192309,36.8820446002
500.0,250.0,-9.06421446386,38.8091408966
500.0,225.0,-8.83193820227,40.8644043062
500.0,200.0,-8.60660347553,43.021277168
500.0,175.0,-8.57467391306,45.2654948242
500.0,150.0,-8.3136863544,47.5584007124
500.0,125.0,-8.3592820513,49.9276509473
500.0,50.0,-12.5136363637,59.6368785322
500.0,31.25,-17.638125,64.1908459841
500.0,15.625,-19.6847619048,66.9365206325
500.0,7.8125,-18.8933333333,67.7585887961
500.0,3.90625,-19.7563636364,68.5674351338
1000.0,900.0,-16.7153059937,77.9039445173
1000.0,850.0,-15.9565824468,79.3155480053
1000.0,800.0,-15.4443617021,81.1832822297
1000.0,750.0,-14.8689312458,83.5340143406
1000.0,700.0,-14.356409156,86.3348444909
1000.0,650.0,-13.8499003832,89.5755508192
1000.0,600.0,-13.3287955626,93.233242393
1000.0,550.0,-13.0067006803,97.2273750879
1000.0,500.0,-12.8392021277,101.539175656
1000.0,450.0,-12.4951881188,106.174183364
1000.0,400.0,-12.3061862528,111.049820414
1000.0,350.0,-12.0000508259,116.121370173
1000.0,300.0,-11.8812068966,121.379063337
1000.0,250.0,-11.6895748614,126.740416836
1000.0,62.5,-23.6244444445,166.785165323
1000.0,31.25,-27.068,176.098396662
1000.0,15.625,-27.0955102041,178.907292968
1000.0,7.8125,-26.4276190476,179.559092599
