Ei,E,dq,E_width
30.0,27.0,-2.90494545456,0.424952585827
30.0,25.5,-2.75673151753,0.472247326506
30.0,24.0,-2.67318007665,0.531387037591
30.0,22.5,-2.57976284587,0.599262488905
30.0,21.0,-2.47819672133,0.673591756249
30.0,19.5,-2.37248908299,0.752793121961
30.0,18.0,-2.29671232879,0.835762953599
30.0,16.5,-2.24133971294,0.921756475643
60.0,54.0,-4.09588688948,1.14437969957
60.0,51.0,-3.90816216218,1.22595298707
60.0,48.0,-3.79446575344,1.33181837664
60.0,45.0,-3.66515235459,1.45798464118
60.0,42.0,-3.49846607672,1.60086735311
60.0,39.0,-3.37914373091,1.75729655565
60.0,36.0,-3.26987096776,1.92500735538
60.0,33.0,-3.17024390246,2.1021798669
125.0,112.5,-5.90812834226,3.33937202952
125.0,106.25,-5.6470809793,3.48976282077
125.0,100.0,-5.46161958571,3.69144613341
125.0,93.75,-5.23788053952,3.94105179961
125.0,87.5,-5.07614604464,4.23283554685
125.0,81.25,-4.87028077756,4.56312073006
125.0,75.0,-4.68414253899,4.92671202515
125.0,68.75,-4.55846889954,5.31902131217
250.0,225.0,-8.36145545799,9.2644039345
250.0,212.5,-7.96807436921,9.53419864431
250.0,200.0,-7.70663129975,9.90987705815
250.0,187.5,-7.44495912808,10.3934067112
250.0,175.0,-7.18515021461,10.9807072696
250.0,162.5,-6.9407656968,11.6652245465
250.0,150.0,-6.67965023849,12.4410040745
250.0,137.5,-6.56391891894,13.2937904323
500.0,450.0,-11.8177422222,25.7024744406
500.0,425.0,-11.287754717,26.1056693431
500.0,400.0,-10.9209962406,26.7384026599
500.0,375.0,-10.5243368829,27.6335038014
500.0,350.0,-10.1565217391,28.7879197354
500.0,325.0,-9.75918015104,30.2083980953
500.0,300.0,-9.39025813694,31.8779613525
500.0,275.0,-9.18370192309,33.7657066718
1000.0,900.0,-16.7153059937,70.6918783556
1000.0,850.0,-15.9565824468,70.6951742431
1000.0,800.0,-15.4443617021,71.2364863835
1000.0,750.0,-14.8689312458,72.5142746771
1000.0,700.0,-14.356409156,74.5248614272
1000.0,650.0,-13.8499003832,77.3306322319
1000.0,600.0,-13.3287955626,80.9519335616
1000.0,550.0,-13.0067006803,85.2980923859
