generation, tau_P, tau_M, pixel_radius, pixel_height, sigma_LMS, sigma_thetai, sigma_phii, matrixErr
0, 7.92876191893, 6.35698854084, 0.312452055381, 0.0032734813659, 0.00161307012798, 0.0406615741437, 0.021955445003, 0.450665594592
1, 7.92876191893, 6.35698854084, 0.312452055381, 0.0032734813659, 0.00161307012798, 0.0406615741437, 0.021955445003, 0.450665594592
2, 7.92876191893, 6.35698854084, 0.312452055381, 0.0032734813659, 0.00161307012798, 0.0406615741437, 0.021955445003, 0.450665594592
3, 7.47850060656, 6.35698854084, 0.312452055381, 0.0032734813659, 0.00161307012798, 0.0406615741437, 0.021955445003, 0.279250736795
4, 7.47850060656, 6.35698854084, 0.312452055381, 0.0032734813659, 0.00161307012798, 0.0406615741437, 0.00201452449878, 0.158711521003
5, 7.47850060656, 6.35698854084, 0.312452055381, 0.0032734813659, 0.00161307012798, 0.0406615741437, 0.00201452449878, 0.158711521003
6, 7.47850060656, 6.35698854084, 0.312452055381, 0.0032734813659, 0.00161307012798, 0.0406615741437, 0.00201452449878, 0.158711521003
7, 7.47850060656, 6.35698854084, 0.312452055381, 0.0032734813659, 0.00161307012798, 0.0406615741437, 0.00201452449878, 0.158711521003
8, 7.47850060656, 6.35698854084, 0.312452055381, 0.0032734813659, 0.00161307012798, 0.0406615741437, 0.0115351179073, 0.155835837079
9, 7.47850060656, 6.35698854084, 0.31746251578, 0.00521617706777, 0.000124368601272, 0.0344321588344, 0.0190513247506, 0.143175254438
9, 7.47850060656, 6.35698854084, 0.31746251578, 0.00521617706777, 0.000124368601272, 0.0344321588344, 0.0190513247506, 0.143175254438
