generation, tau_P, tau_M, pixel_radius, pixel_height, sigma_LMS, sigma_thetai, sigma_phii, matrixErr
0, 7.07505763213, 6.21241389189, 0.306951577325, 0.00627772236649, 0.000262393203379, 0.0383899744848, 0.0348347838731, 0.164659263357
1, 7.07505763213, 6.21241389189, 0.306951577325, 0.00627772236649, 0.000262393203379, 0.0383899744848, 0.0348347838731, 0.164659263357
2, 7.07505763213, 6.21241389189, 0.306951577325, 0.00627772236649, 0.000262393203379, 0.0383899744848, 0.0348347838731, 0.164659263357
3, 7.07505763213, 6.21241389189, 0.306951577325, 0.00627772236649, 0.000262393203379, 0.0383899744848, 0.0348347838731, 0.164659263357
4, 7.07505763213, 6.21241389189, 0.306951577325, 0.00627772236649, 0.00156539005311, 0.0427404488807, 0.0274846802383, 0.147796456795
5, 7.07505763213, 6.21241389189, 0.306951577325, 0.00627772236649, 0.00156539005311, 0.0427404488807, 0.0274846802383, 0.147796456795
6, 7.07505763213, 6.21241389189, 0.306951577325, 0.00949948444482, 0.000262393203379, 0.0427404488807, 0.0274846802383, 0.14403323061
7, 7.07505763213, 6.21241389189, 0.306951577325, 0.00949948444482, 0.000262393203379, 0.0427404488807, 0.0274846802383, 0.14403323061
8, 7.07505763213, 6.21241389189, 0.306951577325, 0.00627772236649, 0.000201275454751, 0.0427404488807, 0.0274846802383, 0.143990324018
9, 7.07505763213, 6.21241389189, 0.306951577325, 0.00627772236649, 0.000201275454751, 0.0427404488807, 0.0274846802383, 0.143990324018
9, 7.07505763213, 6.21241389189, 0.306951577325, 0.00627772236649, 0.000201275454751, 0.0427404488807, 0.0274846802383, 0.143990324018
