generation, tau_P, tau_M, pixel_radius, pixel_height, sigma_LMS, sigma_thetai, sigma_phii, matrixErr
0, 12.851754796, 8.2621456435, 0.250382053114, 0.00830931148906, 0.00428107898021, 0.00428519122152, 0.0463625820349, 1168.8848337
1, 12.851754796, 8.2621456435, 0.250382053114, 0.00830931148906, 0.00428107898021, 0.00428519122152, 0.0463625820349, 1168.8848337
2, 7.98800109682, 9.55733893338, 0.440634933803, 0.0041901198278, 0.00464104702323, 0.00167372424837, 0.0398584643996, 420.468564307
3, 10.8165297594, 8.71995739846, 0.410652808999, 0.00749619856639, 0.00283514187643, 0.00201045942392, 0.0356233688055, 417.118165323
4, 12.0181066181, 8.2621456435, 0.433226147547, 0.00282439083526, 0.00416829187967, 0.00207054620485, 0.0114589272611, 316.870943792
5, 10.8165297594, 8.2621456435, 0.433226147547, 0.00282439083526, 0.00416829187967, 0.00207054620485, 0.0114589272611, 271.142824403
6, 10.8165297594, 8.2621456435, 0.433226147547, 0.00282439083526, 0.00416829187967, 0.00207054620485, 0.0114589272611, 271.142824403
7, 10.8165297594, 8.2621456435, 0.433226147547, 0.00860559080371, 0.00416829187967, 0.00207054620485, 0.0114589272611, 279.15654992
8, 12.851754796, 5.96265401967, 0.440634933803, 0.00469423846909, 0.00270672924539, 0.00207054620485, 0.0114589272611, 272.855926444
9, 11.287418342, 6.99081981306, 0.440634933803, 0.00282439083526, 0.00416829187967, 0.00207054620485, 0.0114589272611, 271.058206539
9, 11.287418342, 6.99081981306, 0.440634933803, 0.00282439083526, 0.00416829187967, 0.00207054620485, 0.0114589272611, 271.058206539
