Ei,E,dq,E_width
30.0,27.0,-2.90494545456,0.432354384894
30.0,25.5,-2.75673151753,0.479085122645
30.0,24.0,-2.67318007665,0.537564205271
30.0,22.5,-2.57976284587,0.604736915029
30.0,21.0,-2.47819672133,0.678347581868
30.0,19.5,-2.37248908299,0.756821079743
30.0,18.0,-2.29671232879,0.839056222776
30.0,16.5,-2.24133971294,0.924302069122
30.0,15.0,-2.17958333335,1.01203494624
30.0,13.5,-2.17520958086,1.10185217269
30.0,12.0,-2.11469135804,1.19348835137
30.0,10.5,-2.06823529414,1.28670285114
30.0,9.0,-1.96347826089,1.38128011184
30.0,7.5,-1.9041758242,1.47708099921
30.0,1.875,-3.91500000002,1.85373249937
30.0,0.9375,-4.68000000002,1.91903101997
30.0,0.46875,-4.58363636366,1.95093761244
30.0,0.234375,-5.07636363638,1.96780216989
60.0,54.0,-4.09588688948,1.15902659648
60.0,51.0,-3.90816216218,1.24016884983
60.0,48.0,-3.79446575344,1.34523176187
60.0,45.0,-3.66515235459,1.47024205565
60.0,42.0,-3.49846607672,1.6116627361
60.0,39.0,-3.37914373091,1.76642267342
60.0,36.0,-3.26987096776,1.93227261192
60.0,33.0,-3.17024390246,2.10741848012
60.0,30.0,-3.17390681006,2.29035193539
60.0,27.0,-3.07258064518,2.48024687542
60.0,24.0,-2.9543497758,2.67604955953
60.0,21.0,-3.01068062829,2.87716923889
60.0,18.0,-2.88060975612,3.08262390713
60.0,15.0,-2.75686567166,3.29184242634
60.0,3.75,-5.20800000002,4.15031891093
60.0,1.875,-6.66758620692,4.30970807245
60.0,0.9375,-6.80363636365,4.38428895229
60.0,0.46875,-6.71384615386,4.42054082698
125.0,112.5,-5.90812834226,3.37520241375
125.0,106.25,-5.6470809793,3.5271139485
125.0,100.0,-5.46161958571,3.72929282031
125.0,93.75,-5.23788053952,3.97802881413
125.0,87.5,-5.07614604464,4.26787656279
125.0,81.25,-4.87028077756,4.59497950566
125.0,75.0,-4.68414253899,4.95445006274
125.0,68.75,-4.55846889954,5.34193547994
125.0,62.5,-4.56279301748,5.75373709394
125.0,56.25,-4.44157746481,6.1884908908
125.0,50.0,-4.25893081763,6.64250998025
125.0,43.75,-4.272398524,7.11362624448
125.0,37.5,-4.17016393445,7.59922941716
125.0,31.25,-4.06142857145,8.09697954772
125.0,12.5,-6.69230769233,9.83403384612
125.0,7.8125,-8.21076923079,10.3433576438
125.0,3.90625,-9.77400000002,10.7756265559
125.0,1.953125,-9.26769230771,10.9451775318
125.0,0.9765625,-9.74352941178,11.0572701364
250.0,225.0,-8.36145545799,9.3673287056
250.0,212.5,-7.96807436921,9.65146850153
250.0,200.0,-7.70663129975,10.039508653
250.0,187.5,-7.44495912808,10.5315625322
250.0,175.0,-7.18515021461,11.1231476043
250.0,162.5,-6.9407656968,11.8077357792
250.0,150.0,-6.67965023849,12.5791430399
250.0,137.5,-6.56391891894,13.424542832
250.0,125.0,-6.38182468696,14.3428968943
250.0,112.5,-6.30019646367,15.323214339
250.0,100.0,-6.12374164813,16.3610870765
250.0,87.5,-5.91007672636,17.4468854831
250.0,75.0,-5.89274285716,18.5804052819
250.0,62.5,-5.9084671533,19.7604572539
250.0,15.625,-12.0025,25.7718603127
250.0,7.8125,-13.918,26.9885090641
250.0,3.90625,-13.4123809524,27.3978433677
250.0,1.953125,-12.174,27.4472197819
500.0,450.0,-11.8177422222,26.0628909543
500.0,425.0,-11.287754717,26.5543129768
500.0,400.0,-10.9209962406,27.2698494049
500.0,375.0,-10.5243368829,28.2319718357
500.0,350.0,-10.1565217391,29.4359955224
500.0,325.0,-9.75918015104,30.884199416
500.0,300.0,-9.39025813694,32.5597869956
500.0,275.0,-9.18370192309,34.4331712816
500.0,250.0,-9.06421446386,36.5053064181
500.0,225.0,-8.83193820227,38.7765007957
500.0,200.0,-8.60660347553,41.2192771722
500.0,175.0,-8.57467391306,43.8302580235
500.0,150.0,-8.3136863544,46.5781393662
500.0,125.0,-8.3592820513,49.5131992942
500.0,50.0,-12.5136363637,61.2194654591
500.0,31.25,-17.638125,66.6083937514
500.0,15.625,-19.6847619048,70.0271108102
500.0,7.8125,-18.8933333333,70.9178981126
500.0,3.90625,-19.7563636364,71.9521286746
1000.0,900.0,-16.7153059937,72.1497772023
1000.0,850.0,-15.9565824468,72.6017896974
1000.0,800.0,-15.4443617021,73.5516845179
1000.0,750.0,-14.8689312458,75.1443777706
1000.0,700.0,-14.356409156,77.3696403652
1000.0,650.0,-13.8499003832,80.2699179581
1000.0,600.0,-13.3287955626,83.8569581627
1000.0,550.0,-13.0067006803,88.0454272036
1000.0,500.0,-12.8392021277,92.8690731728
1000.0,450.0,-12.4951881188,98.3784941763
1000.0,400.0,-12.3061862528,104.494952178
1000.0,350.0,-12.0000508259,111.20035221
1000.0,300.0,-11.8812068966,118.505909383
1000.0,250.0,-11.6895748614,126.351562176
1000.0,62.5,-23.6244444445,173.08419112
1000.0,31.25,-27.068,184.022690798
1000.0,15.625,-27.0955102041,187.437415995
1000.0,7.8125,-26.4276190476,188.281874696
