Ei,E,dq,E_width
30.0,27.0,-2.90494545456,0.484142287497
30.0,25.5,-2.75673151753,0.515897062267
30.0,24.0,-2.67318007665,0.559570868811
30.0,22.5,-2.57976284587,0.613348638488
30.0,21.0,-2.47819672133,0.675362580536
30.0,19.5,-2.37248908299,0.744028760602
30.0,18.0,-2.29671232879,0.818049592013
30.0,16.5,-2.24133971294,0.896499051015
30.0,15.0,-2.17958333335,0.978693684356
30.0,13.5,-2.17520958086,1.06406000958
30.0,12.0,-2.11469135804,1.15223988934
30.0,10.5,-2.06823529414,1.24288646656
30.0,9.0,-1.96347826089,1.33572516138
30.0,7.5,-1.9041758242,1.4306049612
30.0,1.875,-3.91500000002,1.80564769591
30.0,0.9375,-4.68000000002,1.8705353373
30.0,0.46875,-4.58363636366,1.90266520788
30.0,0.234375,-5.07636363638,1.91924960258
60.0,54.0,-4.09588688948,1.31926655141
60.0,51.0,-3.90816216218,1.35738837622
60.0,48.0,-3.79446575344,1.41723721333
60.0,45.0,-3.66515235459,1.49882899182
60.0,42.0,-3.49846607672,1.60085809312
60.0,39.0,-3.37914373091,1.72082660905
60.0,36.0,-3.26987096776,1.85699534506
60.0,33.0,-3.17024390246,2.00747471248
60.0,30.0,-3.17390681006,2.17034351533
60.0,27.0,-3.07258064518,2.34481185988
60.0,24.0,-2.9543497758,2.52926793872
60.0,21.0,-3.01068062829,2.72292166295
60.0,18.0,-2.88060975612,2.92454435805
60.0,15.0,-2.75686567166,3.13363017281
60.0,3.75,-5.20800000002,3.9918768
60.0,1.875,-6.66758620692,4.14652380967
60.0,0.9375,-6.80363636365,4.22149994934
60.0,0.46875,-6.71384615386,4.25854491021
125.0,112.5,-5.90812834226,3.85484696298
125.0,106.25,-5.6470809793,3.86663443475
125.0,100.0,-5.46161958571,3.91864474551
125.0,93.75,-5.23788053952,4.01973705116
125.0,87.5,-5.07614604464,4.1700167743
125.0,81.25,-4.87028077756,4.37353715577
125.0,75.0,-4.68414253899,4.62723137239
125.0,68.75,-4.55846889954,4.92782225278
125.0,62.5,-4.56279301748,5.27229183062
125.0,56.25,-4.44157746481,5.66042318469
125.0,50.0,-4.25893081763,6.08640128451
125.0,43.75,-4.272398524,6.54711862513
125.0,37.5,-4.17016393445,7.03906183396
125.0,31.25,-4.06142857145,7.55943771112
125.0,12.5,-6.69230769233,9.32053413987
125.0,7.8125,-8.21076923079,9.80388494787
125.0,3.90625,-9.77400000002,10.215289929
125.0,1.953125,-9.26769230771,10.4007621109
125.0,0.9765625,-9.74352941178,10.5060062892
250.0,225.0,-8.36145545799,10.5893210298
250.0,212.5,-7.96807436921,10.4110645078
250.0,200.0,-7.70663129975,10.3093131951
250.0,187.5,-7.44495912808,10.3235957557
250.0,175.0,-7.18515021461,10.4747107581
250.0,162.5,-6.9407656968,10.7756992027
250.0,150.0,-6.67965023849,11.2358746339
250.0,137.5,-6.56391891894,11.8443053553
250.0,125.0,-6.38182468696,12.6090608516
250.0,112.5,-6.30019646367,13.5129529455
250.0,100.0,-6.12374164813,14.5466201228
250.0,87.5,-5.91007672636,15.6940014373
250.0,75.0,-5.89274285716,16.9464391354
250.0,62.5,-5.9084671533,18.2925393349
250.0,15.625,-12.0025,24.2385757535
250.0,7.8125,-13.918,25.3423007169
250.0,3.90625,-13.4123809524,25.8262010911
250.0,1.953125,-12.174,26.0280619831
500.0,450.0,-11.8177422222,28.6784110381
500.0,425.0,-11.287754717,27.5475149332
500.0,400.0,-10.9209962406,26.6439130884
500.0,375.0,-10.5243368829,26.124677739
500.0,350.0,-10.1565217391,26.0467988433
500.0,325.0,-9.75918015104,26.4829997523
500.0,300.0,-9.39025813694,27.4419445664
500.0,275.0,-9.18370192309,28.900268169
500.0,250.0,-9.06421446386,30.8589240559
500.0,225.0,-8.83193820227,33.281465832
500.0,200.0,-8.60660347553,36.0979113122
500.0,175.0,-8.57467391306,39.2604585372
500.0,150.0,-8.3136863544,42.7134923923
500.0,125.0,-8.3592820513,46.4349334717
500.0,50.0,-12.5136363637,59.0798096348
500.0,31.25,-17.638125,62.8353244592
500.0,15.625,-19.6847619048,65.8305741396
500.0,7.8125,-18.8933333333,67.1395066508
500.0,3.90625,-19.7563636364,67.9370845299
1000.0,900.0,-16.7153059937,75.4479035933
1000.0,850.0,-15.9565824468,70.3561079221
1000.0,800.0,-15.4443617021,66.3244364853
1000.0,750.0,-14.8689312458,63.8802725923
1000.0,700.0,-14.356409156,63.0863649646
1000.0,650.0,-13.8499003832,64.104378118
1000.0,600.0,-13.3287955626,66.9311197649
1000.0,550.0,-13.0067006803,71.3749655371
1000.0,500.0,-12.8392021277,77.3144981905
1000.0,450.0,-12.4951881188,84.5664131249
1000.0,400.0,-12.3061862528,92.8823563821
1000.0,350.0,-12.0000508259,102.091792368
1000.0,300.0,-11.8812068966,112.063003855
1000.0,250.0,-11.6895748614,122.677588124
1000.0,62.5,-23.6244444445,168.187204455
1000.0,31.25,-27.068,176.600634951
1000.0,15.625,-27.0955102041,180.547829787
1000.0,7.8125,-26.4276190476,182.419494691
